DaystoDepart,RoundTrip,SeatClass,Time,Price
47,0,2,2,0.215859031
47,1,2,0,0.442731278
47,1,2,1,0.442731278
47,1,2,2,0.442731278
48,0,0,0,0.002202643
48,0,0,1,0.002202643
48,0,0,2,0.002202643
48,1,0,0,0.035242291
48,1,0,1,0.035242291
48,1,0,2,0.035242291
48,0,1,0,0.215859031
48,0,1,1,0.215859031
48,0,1,2,0.215859031
48,1,1,0,0.45154185
48,1,1,1,0.45154185
48,1,1,2,0.45154185
48,0,2,0,0.215859031
48,0,2,1,0.215859031
48,0,2,2,0.215859031
48,1,2,0,0.45154185
48,1,2,1,0.45154185
48,1,2,2,0.45154185
49,0,0,0,0.002202643
49,0,0,1,0.002202643
49,0,0,2,0.002202643
49,1,0,0,0.044052863
49,1,0,1,0.044052863
49,1,0,2,0.044052863
49,0,1,0,0.215859031
49,0,1,1,0.215859031
49,0,1,2,0.215859031
49,1,1,0,0.460352423
49,1,1,1,0.471365639
49,1,1,2,0.460352423
49,0,2,0,0.215859031
49,0,2,1,0.215859031
49,0,2,2,0.215859031
49,1,2,0,0.460352423
49,1,2,1,0.471365639
49,1,2,2,0.460352423
50,0,0,0,0.002202643
50,0,0,1,0.002202643
50,0,0,2,0.002202643
50,1,0,0,0.035242291
50,1,0,1,0.057268722
50,1,0,2,0.057268722
50,0,1,0,0.215859031
50,0,1,1,0.248898678
50,0,1,2,0.215859031
50,1,1,0,0.45154185
50,1,1,1,0.556167401
50,1,1,2,0.462555066
50,0,2,0,0.215859031
50,0,2,1,0.248898678
50,0,2,2,0.215859031
50,1,2,0,0.45154185
50,1,2,1,0.556167401
50,1,2,2,0.462555066
51,0,0,0,0.002202643
51,0,0,1,0.002202643
51,0,0,2,0.002202643
51,1,0,0,0.026431718
51,1,0,1,0.026431718
51,1,0,2,0.101321586
51,0,1,0,0.215859031
51,0,1,1,0.215859031
51,0,1,2,0.248898678
51,1,1,0,0.442731278
51,1,1,1,0.442731278
51,1,1,2,0.556167401
51,0,2,0,0.215859031
51,0,2,1,0.215859031
